title,text,create_dttm,link
Инвалидам перекрыли входы в кафе и магазины Кронштадта,"
 Магазины и кафе Кронштадта оказались недоступны  для инвалидов. В ходе проверки выяснилось, что заведения не оборудованы  необходимыми устройствами.
 
 Как рассказали в пресс-службу прокуратуры  Петербурга, проверку проводили в деятельности ИП Ковальчук А.В., ИП Зайцева, ООО «Садко»,  ООО «Золотой лев».
 
 «Входы  этих помещений не оборудованы пандусами, кнопками вызова персонала к входной  площадке, а также пиктограммами для инвалидов по зрению», — отметили в  ведомстве.
 Прокуратура  района в адрес организаций и предпринимателей внесла представления, которые  рассмотрены и удовлетворены — обеспечены кнопки вызовов и пиктограммы,  согласуется установка пандусов.
 Возбуждены дела об административном правонарушении по ст. 9.13  КоАП РФ «Уклонение от исполнения требований доступности для инвалидов объектов  инженерной, транспортной и социальной инфраструктуры». Виновных привлекут к  штрафам.
 
 Как рассказали в пресс-службу прокуратуры  Петербурга, проверку проводили в деятельности ИП Ковальчук А.В., ИП Зайцева, ООО «Садко»,  ООО «Золотой лев».  ",2018-01-23T13:16,https://moika78.ru/news/2018-01-23/12164-invalidam-perekryli-vkhody-v-kafe-i-magaziny-kronshtadta/
Петербургские инвалиды не хотят хвалить метрополитен,"Оказывать помощь некоторым группам инвалидам на всех станциях метро начинают только сейчас. Однако совершить спонтанную поездку колясочник по-прежнему не может. О своём намерении ему необходимо сообщать заранее.
 Специалисты Дистанции обеспечения мобильности пассажиров теперь обслуживают все станции метро. Но далеко не на каждой из них они находятся. Сотрудники работают на определенных участках, в которые входят 2-4 станции. Чтобы совершить поездку, инвалиду-колясочнику нужно заранее позвонить в информационно-справочный центр метрополитена и оставить заявку. 
 «На данный момент его [специалиста Дистанции] нет. Если вы хотите провести инвалида, вы должны заказывать. Есть его номер телефона, вы звоните заранее и говорите: «сегодня в такое-то время будем уезжать оттуда-то». Например, вы сейчас позвонили, и вам надо, чтобы он был через минут сорок. Он будет через минут сорок. Лучше звонить заранее»
 — сообщил «Мойке78» работник метрополитена на одной из станций.
 Узнать сотрудников Дистанции можно по яркому жилету с международным знаком доступности на спине. Точного расписания их местонахождения не существует. Оно определяется загруженностью станции. 
 Сами инвалиды работой метро не слишком довольны. В  «Ассоциация ветеранов, инвалидов и пенсионеров» Петербурга сообщили, что весомых нареканий к работе метрополитена у них нет, впрочем как и оснований хвалить.  
 «Совместно с прокуратурой города мы проводили акцию. Наши инвалиды-колясочники выборочно по станциям метро ездили. И мы нарыли кучу замечаний, которые выдали метрополитену и которые они устраняют»
 — рассказали в «Ассоциации ветеранов, инвалидов и пенсионеров». 
 Дистанция обеспечения мобильности помогает не только инвалидам-колясочникам, но и другим маломобильным группам населения. Среди них пассажиры на ходунках, с костылями, детскими колясками, пенсионеры с тяжелыми сумками. А также люди с нарушениями функций зрения и люди с нарушениями слуха.
 По данным Петербургского метрополитена, в декабре 2017 года пассажиры пользовались услугами специалистов 13000 раз, из них более 6000 раз за помощью обращались пассажиры с детскими колясками и более 1000 раз инвалиды-колясочники.
 Напомним, что подразделение «Дистанция обеспечения мобильности пассажиров» образовано в апреле 2017 года. По началу сотрудники работали на третей и пятой линиях метро. Охват постепенно увеличился. Для того, чтобы обеспечивать помощь маломобильным гражданам в штат было необходимо набрать около 200 работников. Известно, что в октябре сотрудники Дистанции работали на 46 станциях. На станциях, не входящих в зону Дистанции, помощь оказывалась только для инвалидов-колясочников. 
 Для пассажиров, использующих кресла-коляски с электроприводом, услуги недоступны
",2018-01-30T15:53,https://moika78.ru/news/2018-01-30/13170-peterburgskiey-invalidy-ne-khotyat-khvalit-metropoliten/
Петербургских родителей детей-инвалидов поддержат специалисты горячей линии," 
 Горячая линия для родителей детей с инвалидностью начала свою работу в Петербурге.
 По данным Ассоциации общественных объединений родителей детей-инвалидов ГАООРДИ,  появление горячей линии – часть проекта ассоциации под названием «Родитель  родителю», благодаря которому родители, впервые столкнувшиеся с пугающей  новостью об инвалидности ребенка, могут получить советы и помощь от опытных мам  и пап детей-инвалидов.
 «Рождение ребенка с нарушениями в развитии или внезапная  постановка такого диагноза меняет весь сложившийся жизненный уклад семьи», –  отмечает президент ГАООРДИ Маргарита Урманчеева.
 По ее словам, несмотря на обилие в Петербурге учреждений и  организаций, где семьи с ребенком-инвалидом могут получить помощь, люди, зачастую  шокированные, теряются в обилии информации, инстанций и ресурсов.
 
 «Система межведомственного взаимодействия до сих пор не налажена  так, чтобы семья, в которой родился ребенок с тяжелым заболеванием, сразу могла  оказаться в руках команды квалифицированных специалистов», — считает  Урманчеева, добавляя, что в основном акцент в таких программах делается на  помощи ребенку, тогда как не менее важно адаптировать к изменившимся условиям  его родителей.
 
 Теперь петербургские родители детей с особенностями развития смогут  посещать информационные семинары, группы психологической поддержки,  родительские встречи и досуговые семейные мероприятия. К участию приглашают как  «новичков», так и опытных родителей, которые могут и хотят стать наставниками.
 Стоит отметить, что и взрослым инвалидам порой трудно жить в  Петербурге. Например, они не могут совершить спонтанную поездку в метро.  Несмотря на созданное в 2017 году подразделение «Дистанция обеспечения мобильности  пассажиров», специалистов не хватает. Сообщать о поездке необходимо за 40  минут. Помощники находятся не на каждой станции, а обслуживают 2-4 станции. Где  именно они будут находиться, предугадать сложно.
 По данным  Петербургского метрополитена, в декабре 2017 года пассажиры пользовались  услугами специалистов 13 тысяч раз, из них более 6 тысяч раз за помощью  обращались пассажиры с детскими колясками и более тысячи раз инвалиды-колясочники.
 
 Читайте также:
 
 Петербургские инвалиды не хотят хвалить метрополитен
 
 Путин требует усовершенствовать медико-социальную экспертизу
 «Система межведомственного взаимодействия до сих пор не налажена  так, чтобы семья, в которой родился ребенок с тяжелым заболеванием, сразу могла  оказаться в руках команды квалифицированных специалистов», — считает  Урманчеева, добавляя, что в основном акцент в таких программах делается на  помощи ребенку, тогда как не менее важно адаптировать к изменившимся условиям  его родителей.  
 Читайте также:  Петербургские инвалиды не хотят хвалить метрополитен  Путин требует усовершенствовать медико-социальную экспертизу  ",2018-01-31T13:12,https://moika78.ru/news/2018-01-31/13312-peterburgskikh-roditeley-detey-invalidov-podderzhat-spetsialisty-goryachey-linii/
В Петербурге оштрафовали «Мираж Синема» за отказ в обслуживании подростка-инвалида,"Роспотребнадзор по Санкт-Петербургу оштрафовали кинотеатр «Мираж Синема», в котором в ноябре прошлого года отказали в обслуживании подростку-инвалиду, сообщила Уполномоченная по правам ребенка в Петербурге Светлана Агапитова.
 В ноябре 2017 года 15-летнего Артема не пропустили в кинотеатр «Мираж Синема», находящийся в ТЦ «Атлантик Сити» на улице Савушкина. Подростка не только не пропустили в зал, но и выгнали из кафе при кинотеатре. Сотрудники объяснили, что по политике заведения они могут не обслуживать посетителей без объяснения причин. 
 Кроме того, оказалось, что заведение оказывало услуги «ненадлежащего качества», в его работе Роскомнадзор выявил и другие слабые места.
 В ноябре 2017 года 15-летнего Артема не пропустили в кинотеатр «Мираж Синема», находящийся в ТЦ «Атлантик Сити» на улице Савушкина. Подростка не только не пропустили в зал, но и выгнали из кафе при кинотеатре. Сотрудники объяснили, что по политике заведения они могут не обслуживать посетителей без объяснения причин.  ",2018-02-14T13:38,https://moika78.ru/news/2018-02-14/14985-v-peterburge-oshtrafovali-mirazh-sinema-za-otkaz-v-obsluzhivanii-podrostka-invalida/
Люди каменного века относились к инвалидам с уважением,"Первобытные люди жившие на территории современной России относились к детям-инвалидам с большим почтением, чем ко взрослым охотникам. Об этом говорят результаты исследований древнего захоронения Сунгирь под Владимиром. Погребениям около 34 000 лет .
 Ученые сравнили детскую могилу и захоронение одного из охотников, которому было около 40 лет. Стоит отметить, что средняя продолжительность жизни людей верхнего палеолита колебалась в районе 30 лет.
 В детской могиле были обнаружены останки мальчиков 10 и 12 лет. Они были похоронены голова к голове. Рядом с ними найдено около 10 000 бусинок из бивней мамонта, которыми, вероятно, была обшита одежда детей, браслеты и украшения из мамонтовой кости и сделанные из бивней мамонта 16 дротиков и копий. В том числе и копье длиной 2,4 метра.
 Захоронение охотника, у которого было больше времени и сил, для того чтобы улучшить жизнь членов группы, выглядело намного скромнее.
 Кроме того, исследователи изучили останки мальчиков и определили, что дети были инвалидами. Но, несмотря на это, о них заботились, и они получали самый лучший по тем временам уход.
 Анализ зубной эмали выявил, что оба мальчика испытали повторяющиеся периоды экстремального стресса. Более того, бедренные кости 10-летнего мальчика были кривыми и исключительно короткими. Но в остальном мальчик был физически активным и хорошо развитым. У зубов 12-летнего мальчика почти не было износа. Анализ его скелета показывает, что мальчик был прикован к постели.
 Возможно, группа кормила старшего мальчика мягкими продуктами, такими как каша.
 «Но на самом деле странно иметь человека, который выглядит так, будто его приковали к постели, в группе охотников и собирателей, которые были чрезвычайно мобильны»,
  — отмечает один из исследователей.
 Эти два мальчика — не единственные первобытные люди с ограниченными возможностями, захоронения которых были обнаружены археологами. Как отмечают ученые, люди с ярко выраженными отклонениями встречаются почти в каждом третьем погребении Верхнего палеолита. Результаты исследований были опубликованы на сайте Кембриджского университета.
 Стоянка Сунгирь – древнейшее поселение людей во Владимирской области. Погребения, которые относятся к Среднему Верхнему палеолиту, расположены на северо-восточных окраинах Владимира и были раскопаны с 1957 по 1977 год. Предметы, найденные на территории археологического памятника, экспонируются во Владимиро-Суздальском музее-заповеднике. Ученые продолжают заниматься их исследованием.
 В детской могиле были обнаружены останки мальчиков 10 и 12 лет. Они были похоронены голова к голове. Рядом с ними найдено около 10 000 бусинок из бивней мамонта, которыми, вероятно, была обшита одежда детей, браслеты и украшения из мамонтовой кости и сделанные из бивней мамонта 16 дротиков и копий. В том числе и копье длиной 2,4 метра. ",2018-02-16T20:24,https://moika78.ru/news/2018-02-16/15298-lyudi-kamennogo-veka-otnosilis-k-invalidam-s-uvazhenieym/
В Петербурге инвалидов поддержат при помощи концерта роговой музыки,"26 февраля в Петербурге пройдет необычное музыкальное событие: в Петрикирхе пройдет концерт Российского рогового оркестра, организованный совместно с фондом “Близкие ДРУГие”. Все средства, полученные от концерта, пойдут на помощь инвалидам с множественными нарушениями развития. 
 Художественный руководитель рогового оркестра Сергей Поляничко рассказал о том, что коллектив, который сыграет в Петрикирхе, возрождает утраченные традиции роговой музыки в России. Все роговые инструменты, на которых играют музыканты, восстановлены вручную. Кроме того, сама задача оркестра очень сложная: каждый музыкант при помощи инструмента может извлекать лишь один звук, что делает слаженную игру всего коллектива особенно важной. Российский роговой оркестр известен не только в Петербурге, но и во всем мире: оркестр играл на открытии Санкт-Петербургского международного экономического форума G20, принимал участие во многих российских и зарубежных музыкальных фестивалях. 
 “Людям, которые придут на концерт, я гарантирую хорошее настроение и хорошее самочувствие несколько дней, но все же, я надеюсь, что мы соберемся не только ради этого, а еще и для того, чтобы помочь нашим близким, “Близким ДРУГим”, — сказал Сергей Поляничко.
 
 “Людям, которые придут на концерт, я гарантирую хорошее настроение и хорошее самочувствие несколько дней, но все же, я надеюсь, что мы соберемся не только ради этого, а еще и для того, чтобы помочь нашим близким, “Близким ДРУГим”, — сказал Сергей Поляничко.  ",2018-02-22T15:15,https://moika78.ru/news/2018-02-22/16063-v-peterburge-invalidov-podderzhat-pri-pomoshchi-kontserta-rogovoy-muzyki/
Лжеполицейские в Петербурге пришли грабить инвалида и ушли ни с чем,"
 В Петербурге возбудили уголовное дело после того, как двое злоумышленников, прикинувшись полицейскими, ограбили инвалида. Впрочем, уйти им пришлось ни с чем – у мужчины не оказалось денег. 
 Как стало известно «Мойке78», ограбление произошло в Кировском районе Петербурга накануне. 
 
 По словам мужчины, дворе пришли в нему в квартиру на улице Стойкости, представившись полицейскими. После один из них ударил мужчину и потребовал деньги. Впрочем, денег у пострадавшего не оказалось. Тогда злоумышленники забрали из куртки пенсионера банковскую карточку и проездной билет. 
 
 Отмечается, что материальный ущерб мужчине причинен не был. 
 В настоящее время правоохранители разыскивают злоумышленников. 
 
 По словам мужчины, дворе пришли в нему в квартиру на улице Стойкости, представившись полицейскими. После один из них ударил мужчину и потребовал деньги. Впрочем, денег у пострадавшего не оказалось. Тогда злоумышленники забрали из куртки пенсионера банковскую карточку и проездной билет.   ",2018-02-28T10:36,https://moika78.ru/news/2018-02-28/16908-lzhepolitseyskiey-v-peterburge-prishli-grabit-invalida-i-ushli-ni-s-chem/
Сотрудник с инвалидностью: кем работают люди с ограниченными возможностями?,"На Международном форуме в Петербурге эксперты обсудили вопросы трудоустройства людей с ограниченными возможностями. Корреспондент Мойки 78 пообщался с инвалидами и узнал, трудно ли устроиться им на работу. 
 Довольно часто можно услышать из уст наших властей, что мы живем в мире возможностей, в мире новых технологий. По нескольку раз в год ученые совершают открытия, гаджеты перевыпускаются с бешеной скоростью: не успеешь приобрести новое устройство, как в миг оно становится устаревшим.
 Казалось бы, в таких «утопических» условиях просто невозможно сидеть на печи или бить баклуши. Однако в начале года уровень безработицы в нашей стране увеличился до 5,2%. Данная проблема не обошла стороной и людей с ограниченными возможностями. В первый день весны, 1 марта, в Петербурге прошел Международный форум труда. Специалисты рассказали, что из 2 миллионов трудоспособных инвалидов всего 600 тысяч имеют работу. 
 Столь низкий показатель объясняется двумя факторами: низкой мотивацией соискателей и стереотипным мышлением работодателей, уверены эксперты. 
 «К сожалению, я уже примерно 6 лет не могу устроиться на работу. — рассказывает корреспонденту Мойки 78 молодая девушка по имени Любовь. — У меня инвалидность 2 группы. При этом есть специальность. Я училась на вышивальщицу». Петербурженка предполагает, что работодатели отказывают ей из-за нехватки опыта.
 «Правда откуда взяться практике, если тебя не берут? — Наверное, они просто бояться инвалидности»
 — недоумевает 24-летняя девушка.
 Любовь поделилась, что не так давно ее пригласили поработать почтальоном. 
 «Я тогда подумала, что меня на совсем берут, а оказалось, обманули: предоставили работу только на две недели, пока основная сотрудница в отпуске была». На вопрос — как петербурженка выживает в условиях вечно повышающихся цен на продукты и лекарства, девушка объясняет: «Мне выплачивают пенсию. К тому же, я живу с мамой. Хорошо, что хоть она работает».
 Эксперты заявляют, что открыть двери работодателей помогут хорошее образование и повышение квалификации. Так в 2017 году 9 петербуржцев с ограниченными возможностями из 120 человек успешно прошли обучение в школе английского языка, сдали экзамен и получили работу. 
 Еще одна молодая девушка Настя, у которой инвалидность 3 группы говорит, что три года назад ей удалось стать оператором связи на почте. «Сначала, в лицее, я училась на делопроизводителя, потом, в колледже, на преподавателя начальных классов. По профессии работать не пошла. И около полугода состояла на бирже труда. Там сотрудники посоветовали мне пойти на почту. Решилась. Сейчас тружусь оператором. — вспоминает петербурженка. — Пока все отлично. С коллективом и начальством отношения хорошие». 
 Добавим, что на портале HeadHunterпредставлено 488 вакансий для жителей Петербурга, которые доступны для людей с инвалидностью. Среди них есть такие, как менеджер по продажам, менеджер по работе с клиентами, оператор колл-центра, автор работ, который будет заниматься написанием курсовых, дипломных и контрольных, преподаватель, программист и другие. 
 По словам координатора по трудоустройству инвалидов РООИ «Перспектива» Ады Григорьевой, нет лучшего способа интеграции людей с ограниченными возможностями, чем трудоустройство. Эксперты считают, пока не дашь человеку возможность проявить себя, не поймешь, на что он способен. В этом ключе работодателям стоит задуматься о стажировках. 
 
 Столь низкий показатель объясняется двумя факторами: низкой мотивацией соискателей и стереотипным мышлением работодателей, уверены эксперты.  ",2018-03-05T17:38,https://moika78.ru/news/2018-03-05/17697-sotrudnik-s-invalidnostyu--kem-rabotayut-lyudi-s-ogranichennymi-vozmozhnostyami/
Внутренние дворы Русского музея перестроят для инвалидов,"
 Проект  реконструкции Михайловского дворца, в  котором располагается Русский музей,  получил положительное заключение от  петербургского филиала Главгосэкспертизы.  В частности, предполагается, что в ходе  работ внутренние дворы музея будут  приспособлены для современного  исследования.
 На  сайте Главгосэксертизы также сообщается,  что в ходе работ будет отреставрирована  прилегающая территория. После ремонта  площадь музея увеличиться. Также будет  обустроено фондохранилище открытого  доступа и конференц-зал.
 Отмечается,  что о реконструкции части территории  дворца заговорили после того, как  обследование показало, что музей уже  не отвечает современным требованиям. 
 
 В  ходе первого этапа работ создадут  условия для посещения Русского музея  людьми с ограниченными возможностями.  Для этого перестоят внутренний двор №  1. На втором этапе точно такие же работы  проведут во дворе № 2. 
 
 Установят  панорамные, удобные для инвалидов,  пассажирские и грузовые лифты. Также  на фасадах внутренних дворов будут  установлены световые фонари. 
 После  того, как работы завершатся пропускная  способность дворца вырастет на 100 человек  — до 2940 посетителей в день. Общая площадь  музея станет больше: с  12139,10 до 12989,50 квадратных  метра.
 Проект  получит финансирование из федерального  бюджета в рамках программы «Культура  России (2012-2018)».
 
 В  ходе первого этапа работ создадут  условия для посещения Русского музея  людьми с ограниченными возможностями.  Для этого перестоят внутренний двор №  1. На втором этапе точно такие же работы  проведут во дворе № 2.   ",2018-03-12T11:05,https://moika78.ru/news/2018-03-12/18397-vnutrenniey-dvory-russkogo-muzeya-perestroyat-pod-invalidov/
"Пенсионеры, живущие с инвалидами, смогут не платить за капремонт","
 Госдума в первом чтении приняла законопроект о полном или частичном освобождении от платы за капремонт пенсионеров, достигших 70 и 80 лет — членов семей инвалидов I и II групп.
 
 Документ предусматривает внесение поправок в Жилищный кодекс России. Согласно им, теперь льготы при оплате взносов будут получать не только одинокие пенсионеры, но и члены семей инвалидов.
 
 Госдума ранее уже приняла закон, согласно которому регионы могли предоставлять одиноким пенсионерам, достигшим 70 и 80 лет, компенсацию на капремонт в размере 50% и 100% соответственно. 
 Как ранее писала «Мойка,78», Заксобрание Петербурга не стало принимать закон о приостановке взносов на капитальный ремонт для старых домов. Такой проект внесла фракция «Яблоко». Как пояснил один из его разработчиков, депутат Борис Вишневский, жилищный кодекс предусматривает в случае приватизации обязанность отремонтировать помещения за счет предыдущего наймодателя. Однако с 2014 года власти отказались финансировать за счет бюджета ремонт в домах, которые нуждались в нем до начала приватизации квартир, сообщил «яблочник». Речь идет преимущественно о зданиях в исторической части города. 
 Оппозиционер пытался убедить коллег, что петербуржцы не должны нести эти расходы. 
 Тем временем суммарный долг за капремонт в Петербурге составил 1,1 млрд рублей уже в конце ноября. И это только со стороны 100 тысяч собственников жилых помещений. Еще 193 млн рублей за капремонт задолжали собственники нежилых зданий. Чтобы снизить долг по оплате взносов на капитальный ремонт, фонд организовал массовую рассылку «писем счастья» собственникам-должникам.
 С 2014 года петербуржцы перечислили на капремонт уже 9,9 млрд. рублей. Собираемость взносов в 2017 году достигла 91,2%. Размер взноса в Петербурге колеблется в пределах 3,5-4,5 рублей за квадратный метр в зависимости от типа дома.
 В этом году финансирование капремонта в Петербурге, как ожидается, составит 11,3 млрд рублей. Работы проводятся в 1854 домах. Согласно программе, до конца года в петербургских домах будут заменены 1,5 тыс. лифтов, отремонтированы 516 кровель и 267 фасадов.
 Документ предусматривает внесение поправок в Жилищный кодекс России. Согласно им, теперь льготы при оплате взносов будут получать не только одинокие пенсионеры, но и члены семей инвалидов.  ",2018-03-27T22:41,https://moika78.ru/news/2018-03-27/20720-pensionery-zhivushchiey-s-invalidami-smogut-ne-platit-za-kapremont/
