title,text,create_dttm,link
Депутат Романов вручил инвалидную коляску нового поколения главе физкультурно-спортивного клуба «Паралимпик»,"Накануне Нового года депутат Госдумы, заместитель председателя комитета ГД по контролю и регламенту Михаил Романов посетил Центр социальной реабилитации инвалидов и детей-инвалидов Фрунзенского района Санкт-Петербурга и вручил новейшее кресло для активных людей с ограниченными возможностями одной из участниц спортивных программ Центра.
Накануне Нового
года депутат Госдумы, заместитель председателя комитета ГД по контролю и регламенту
Михаил Романов посетил Центр социальной реабилитации инвалидов и
детей-инвалидов Фрунзенского района Санкт-Петербурга и вручил новейшее кресло
для активных людей с ограниченными возможностями одной из участниц спортивных
программ Центра.

Кресло специально создано для
паралимпийцев. Призеру чемпионатов Санкт-Петербурга и России, председателю
Санкт-Петербургской региональной общественной организации физкультурно-спортивного
клуба «Паралимпик» Разиле Ермаковой электроколяска поможет одерживать новые
победы в состязаниях по флорболу. Устройство приобретено на средства,
вырученные участниками благотворительного футбольного матча в мае 2017 года в
Колпино. Тогда в благотворительных целях на поле вышли петербургские политики,
бизнесмены, артисты.

Это уже второй визит Михаила
Романова в Центрсоциальной реабилитации
инвалидов и детей-инвалидов Фрунзенского района, за работой которого
парламентарий пристально следит. Поздравляя сотрудников и учреждения и его
постоянных посетителей с наступающим Новым годом, депутат отметил большую
работу по оказанию социальных услуг инвалидам и детям-инвалидам города,
проводимую Центром, его достижения в городских конкурсах, рассказал коллективу
о планах города по расширению и развитию учреждения.

«Ваш замечательный Центр является
настоящим средоточием жизни для взрослых и детей с ограниченными возможностями.
Здесь участники программ Центра не только проходят реабилитацию, но и вовлечены
в творчество, праздники, соревнования и другие интересные дела. Все в этих
стенах дышит оптимизмом и заражает радостью жизни. Сотрудники Центра относятся
к своим подопечным как к членам семьи. Любовью, вниманием и заботой педагоги
Центра снижают тревогу своих подопечных, приближая победу над болезнью. Дорогие
друзья, я от всей души поздравляю вас с наступающим Новым годом и желаю вам
здоровья и добрых перемен», – сказал Михаил Романов.

Директор Центра Евгения Кузьмина в
ответном слове поблагодарила Михаила Романова за заботу об инвалидах, за помощь
Центру, выразила надежду на реализацию планов по расширению учреждения и
рассказала о планах обустройства на его территории игровых зон для
маломобильных групп населения и слабовидящих «Сад ощущений».

Сама Разиля Ермакова подарила
Михаилу Романову чашку с символикой своего спортивного клуба и произнесла слова
благодарности в адрес депутата.",1 января 2018,https://spbdnevnik.ru/news/2018-01-01/deputat-romanov-vruchil-invalidnuyu-kolyasku-novogo-pokoleniya-glave-fizkulturno-sportivnogo-kluba--paralimpik
"Клиника ""Личный доктор"" заплатит штраф за отсутствие пандусов","В Колпинском районе медицинская клиника ООО ""Личный доктор"" не обеспечила доступность для инвалидов, в связи с чем было возбуждено административное дело. Старшая медсестра учреждения получила штраф. 
В Колпинском районе медицинская клиника ООО ""Личный доктор"" не обеспечила доступность для инвалидов, в связи с чем было возбуждено административное дело. Старшая медсестра учреждения получила штраф. Кроме того, в адрес гендиректора ""Личного доктора"" было внесено представление. Об этом сообщили в пресс-службе прокуратуры Петербурга.
“В нарушение требований закона на момент проведения проверки в клинике не обеспечены условия для беспрепятственного доступа инвалидов и маломобильных групп населения – лестничный марш, ведущий к входной двери, не оборудован пандусом или стационарным подъемным устройством, кнопка вызова персонала находится в недоступном месте для инвалидов на кресле-коляске, вход не обеспечен тактильной информационной вывеской”,  рассказали в ведомстве. 
В настоящее время нарушения частично устранены.",10 января 2018,https://spbdnevnik.ru/news/2018-01-10/klinika--lichny-doktor--zaplatit-shtraf-za-otsutstviey-pandusov
"Город услышал Антона, который тут рядом","В Петербурге будет создан центр помощи семьям, в которых есть люди, страдающие аутизмом. Это решение было принято в ходе визита губернатора Георгия Полтавченко в Центр ""Антон тут рядом"", названный, как и фильм, перевернувший сознание многих.
В Петербурге будет создан центр помощи семьям, в которых есть люди, страдающие аутизмом. Это решение было принято в ходе визита губернатора Георгия Полтавченко в Центр ""Антон тут рядом"", названный, как и фильм, перевернувший сознание многих.
Благотворительный фонд ""Выход в Петербурге"" был создан в 2013 году автором фильма ""Антон тут рядом"" Любовью Аркус. Фонд за 4 года развернулся до нескольких площадок, на которых людям с РАС (расстройствами аутистического спектра) помогают учиться жить в обществе, обслуживать себя, получить профессию, общаться. Центр ""Антон тут рядом"" - основная площадка фонда, первый его проект и первый в России центр творчества, обучения и социальной абилитации для взрослых людей с аутизмом. Здесь же, кстати, часто бывает и главный герой фильма – Антон Х., ставший за последние годы неким символом того, что люди с очень непростой судьбой могут жить, учиться и работать, а не быть вечной болью для семьи и обузой для общества.
Нужен административный ресурс
Губернатору Петербурга показали площадки Центра: творческие мастерские (швейную, декораторскую, гончарную), рассказали о том, как на тренировочных квартирах обучают своих студентов навыкам самостоятельной жизни, а также посвятили в некоторые тонкости и сложности работы с людьми, особенности которых уже называют очередной эпидемией нового века. Сегодня, по статистике Всемирной организации здравоохранения, ратифицированной Минздравом РФ, каждый 100-й ребенок рождается с аутизмом, причем сейчас специалисты настаивают на том, что это не психическое заболевание, а пожизненная особенность развития, некий спектр, объединяющий людей с трудностями в определенных сферах. Считается, что аутизм – это поведенческий диагноз, который, впрочем, не может подтвердить или опровергнуть ни одно инструментальное исследование. Аутизм нельзя исцелить, но можно помочь людям адаптироваться в обществе.
Центр ""Антон тут рядом"" разделен на две площадки: на первой люди постигают первые уроки социализации, на второй площадке наиболее продвинувшиеся в этом студенты учатся работать, тренируют бытовые навыки, постепенно осваивают возможные будущие профессии. Все происходит под постоянным контролем сотрудников центра – как постоянных, так и волонтеров. Применяются годами отработанные практики и программы социализации, причем комплексной: от элементарных бытовых навыков до развития творческих способностей и получения специальности. 
""Всем известно, что семьи с детьми-инвалидами и сами инвалиды часто привыкают к иждивенческой позиции и в итоге сами себя вынужденно изолируют даже в тех случаях, когда  могли бы работать и зарабатывать. Мы учим их тому, что можно и нужно быть более самостоятельными"", - рассказывает координатор центра и куратор программ по трудоустройству Любовь Новикова.
Сейчас здесь учатся более сотни людей с РАС. Никаких четко ограниченных сроков обучения не существует – понятно, что у каждого человека свои особенности и способности. В среднем люди здесь проводят один-два года, затем в сопровождении куратора проходят тест на рабочем месте – так называемое сопровождаемое трудоустройство. Сейчас 6 человек уже имеют постоянную работу – в основном в сфере обслуживания. Работают гардеробщиками, помощниками офис-менеджеров, озеленителями, фасовщиками. А вот очередь из ""абитуриентов"" есть: за время существования центра люди поняли, насколько важно взрослым аутистам адаптироваться к жизни, а не затворяться в своих стенах.
Все обучение бесплатно – благотворительный фонд живет за счет спонсорской помощи и частичной поддержки государства. В этом году впервые был выигран президентский грант на 3 млн рублей, но пока это слишком мало. Требуется финансовая, информационная поддержка и даже административный ресурс. 
Необходимо изменение системы
Глава комитета по социальной политике Александр Ржаненков рассказал ""ПД"" об итогах совещания городских властей с руководителями и сотрудниками благотворительного фонда.
""Фонд делает колоссальную работу, которая очень востребована с точки зрения законодательства, востребована обществом, но, к сожалению, мало реализуема в государственных учреждениях и далеко не полно поддержана финансово и организационно, - считает Александр Ржаненков. – Проблемы существуют – как законодательные, так и медицинские, и социальные. Не отработаны методики, в том числе межведомственного взаимодействия и контактов с родственниками. Георгий Сергеевич все это оценил и предложил создать в городе центр, который бы помогал организовать для родителей, чьи дети находятся дома, целый комплекс мер помощи в системе здравоохранения, образования, социальной защиты, чтобы в нем отрабатывались методики, которых пока не существует. В центре ""Антон тут рядом"" такие методики есть, их надо тиражировать, внедрять, готовить по ним специалистов"".
Александр Ржаненков подчеркнул, что должны быть решены вопросы финансовой поддержки таким центрам и фондам:
""Люди работают на голом энтузиазме. Это хорошо, что такие люди есть, но должна быть и основа. ""Антон тут рядом"" получал субсидии от нашего комитета, но они ограничены, требуют колоссального сбора документов, прохождения конкурсных процедур. С текущего года (так как в марте фонду исполнится 5 лет) они получат право заявляться к нам по поводу возмещения затрат по отдельным услугам. Это весьма существенная помощь. Сейчас им помогает бизнес, неравнодушные люди, актеры, но их опыт в целом необходимо тиражировать на более серьезной основе. Родственники должны понимать, что им делать, куда идти, вероятно, необходимо государственное сопровождение. И губернатор принял решение эту работу организовать"", - говорит глава комитета по соцполитике.
Александр Ржаненков также отметил еще одну важнейшую перспективу, которую открывает ""Антон тут рядом"" - возможность самостоятельной жизни для аутистов, а значит – разукрупнение интернатов, более полное и логичное взаимодействие всех тех сопредельных сфер, которые решают вроде бы одни задачи, но не всегда находят точки пересечения: ""Здравоохранение занимается этими людьми по своему профилю, образование – по своему, у нас в ведении – система интернатов. Это все требует координации действий. Необходимо изменение системы"", - считает чиновник.
Глава социального ведомства напомнил, что есть воля и озвученная позиция президента России, главы правительства, профильных чиновников относительно трудоустройства инвалидов, вовлечения их в общественную жизнь. 
""В Петербурге есть возможности трудоустроить этих людей. По закону работодатель обязан или трудоустроить инвалида, или перечислять средства в фонд создания рабочих мест для инвалидов. Это действует, но не в том объеме, как было раньше. В законодательство были внесены изменения, которые защищают работодателей, но ущемляют права инвалидов. Но весь мир живет именно так – помогая инвалидам. И мы тоже надеемся это изменить"". 
При этом, по словам Александра Ржаненкова, возможности Санкт-Петербурга ""просто изумительны"", так как у нас есть люди, обладающие колоссальным потенциалом и имеющие уникальный опыт.
""Есть человеческий потенциал, отношение к проблеме обычных людей, молодежь смотрит на инвалидов уже другими глазами. Это все воспитывает, происходит настоящая переоценка ценностей"", - считает Александр Ржаненков.
Любовь Аркус: ""Нас услышали. Но надо, чтобы услышали и психиатры""
Учредитель и гендиректор Фонда ""Выход в Петербурге"" и Центра ""Антон тут рядом"" Любовь Аркус согласна, что данные ВОЗ, рапортующие о каждом сотом ребенке с подобным диагнозом, действительно шокируют. Что, впрочем, не отрицает гипердиагностики аутизма.
""Отчасти это есть. Статистика растет угрожающе – как раньше было со статистикой по СПИД. То, что раньше не диагностировали, теперь диагностируют. Но в нашей стране даже педиатры не знают, что происходит. И меньше всего об этом знают психиатры. У нас был прекрасный опыт работы с нашим районным ПНД № 3. Там работал психиатр Леонид Лейбин. Сначала он ничему не верил. Я привела Антона к нему, он начал ему помогать. Потом Лейбин сам пришел к нам в центр, и после этого он принимал активнейшее участие, изменил свою точку зрения, начал получать образование. К сожалению, он рано погиб"", - рассказывает Любовь Аркус. 
По ее словам, многие петербургские психиатры до сих пор придерживаются позиции, что ""аутизма нет"". Один известный детский психиатр так и говорил после просмотра фильма ""Антон тут рядом"": ""Не морочьте голову, таких детей не надо учить и лечить, а надо просто изолировать для их же пользы и пользы общества"". 
Еще одной важнейшей проблемой Любовь Аркус считает нехватку кадров и проблемы с трудоустройством инвалидов: ""В СССР с этим было лучше. При ПНД существовали мастерские, где люди могли зарабатывать. Потом все исчезло, и остались одни таблетки. Но главная проблема – кадры. Нужны люди: врачи, психологи, тьюторы (педагоги индивидуального сопровождения), волонтеры, которые понимают особенности работы с аутистами. Но уровне сопровождения их можно обучить за месяц, но такие кадры крайне необходимы"".
Любовь Аркус удовлетворена встречей с руководством города. ""Нас услышали, губернатор получил информацию из первых уст. Без помощи города невозможно осуществить масштабного проекта. Нам необходимо взаимодействие с комитетами, пока нас слышат не всегда. Надеемся, что визит губернатора это изменит"", - сказала Любовь Аркус.",11 января 2018,https://spbdnevnik.ru/news/2018-01-11/my-tut-ryadom
Комитет по соцполитике прокомментировал возможность доставки в баню на такси,"Председатель комитета по социальной политике Александр Ржаненков прокомментировал «ПД» возможность осуществления идеи депутатов Заксобрания Петербурга расширить перечень мест, куда малоимущие и инвалиды могут доставляться со значительными скидками на социальном такси
Председатель комитета по социальной политике Александр Ржаненков прокомментировал «ПД» возможность осуществления идеи депутатов Заксобрания Петербурга расширить перечень мест, куда малоимущие и инвалиды могут доставляться со значительными скидками на социальном такси.
«Санкт-Петербург – единственный регион, который предоставляет такую меру поддержки, как социальное такси. Ей могут воспользоваться отдельные категории инвалидов, испытывающие значительные затруднения при пользовании городским общественным транспортом. В 2017 году количество граждан, которые имели право на такую льготу, составило около 297,6 тыс. человек. В зависимости от вида объекта, группы инвалидности оплата стоимости такси из бюджета может составить от 50 до 90%», - сообщил Александр Ржаненков.
Председатель комитета уточнил, что перечни объектов сформированы с учетом их приоритетности, сейчас они включают около 4,6 тыс. социально-значимых объектов с 5,5 тыс. адресами. 
«В 2017 году поступили и были реализованы транспортными организациями 676,5 тыс. заявок от 42,7 тыс. человек. Затраты бюджета Санкт-Петербурга составили 360 685,9 тыс. рублей. Вопросы расширения и изменения перечня объектов требуют тщательного анализа и безусловно потребуют дополнительных затрат со стороны бюджета», - отметил Александр Ржаненков.
Кроме того, по его словам, социальное такси вводилось в 2006 году как временное решение вопроса доступности городского общественного транспорта. 
«И мы видим, что город эту проблему решает, каждый год закупаются новые низкопольные трамваи, троллейбусы, приспособленные для нужд лиц с ограниченными возможностями, - говорит руководитель ведомства. - Что касается городских бань, то здесь также необходимо обратить внимание на их собственную доступность для инвалидов. А мы зачастую видим, что располагаются они не на первом этаже, при этом помещения никак не приспособлены для лиц с ограниченными возможностями. Во многих случаях для создания доступной среды необходимо проведение капитального ремонта. Обязанность по обустройству объектов, в том числе созданий условий доступности за собственником (пользователем) объектов в соответствии с федеральным законодательством».
Напомним, ранее депутаты петербургского Законодательного собрания предложили разрешить инвалидам пользоваться социальным такси, в случае если они хотят посетить баню. Законопроект поддержали 12 января на комитете по законодательству. Согласно тексту законопроекта, на данный момент инвалиды имеют право доехать на социальном такси за полцены или за треть полной стоимости в аэропорты, на вокзалы, в санатории, культурные учреждения и на кладбища. Как уточнил Четырбок, к этому перечню добавятся бани, но только государственные.
Примечательно, что депутат Вера Сергеева пошла еще дальше и высказала мнение, что банями ограничиваться не стоит, необходимо внести в этот перечень ещё и храмы.",12 января 2018,https://spbdnevnik.ru/news/2018-01-12/komitet-po-sotspolitike-prokommentiroval-vozmozhnost-dostavki-v-banyu-na-taksi
Обновленный реабилитационный центр в Пушкине приступил к работе,"Люди с нарушениями интеллекта нуждаются в особой заботе и внимании. Именно поэтому город создает все необходимые условия для их жизни. Вчера состоялось долгожданное открытие реабилитационного центра в Пушкине.
Люди с нарушениями интеллекта нуждаются в особой заботе и внимании. Именно поэтому город создает все необходимые условия для их жизни. Вчера состоялось долгожданное открытие реабилитационного центра в Пушкине.
Отделение дневного пребывания для людей с нарушением интеллекта по социально-трудовой реабилитации ГБУСОН ""Центр социальной реабилитации инвалидов и детей-инвалидов"" распахнуло свои двери после капитального ремонта.
На торжественной церемонии открытия в Пушкине присутствовали депутат Законодательного собрания СПб Юрий Бочков, а также глава администрации Пушкинского района Владимир Омельницкий.
Центр работает с 2008 года и помогает социально адаптироваться как детям-инвалидам (с 3 до 18 лет), так и инвалидам трудоспособного возраста. Ежегодно учреждение обслуживает более 1,5 тыс. человек.
В прошлом году была начата реконструкция отделения дневного пребывания, были заменены все коммуникационные системы, дополнительно оборудован запасной выход.
Владимир Омельницкий поблагодарил членов попечительского совета и сотрудников центра за участие в реконструкции отделения.
""Те помещения, которые вы сегодня видите, конечно, преобразились. Я надеюсь, что в дальнейшем эти помещения, принимая своих воспитанников, станут действительно вторым домом"", – отметил он.
По словам Юрия Бочкова, путь к реконструкции был долгим. Однако теперь обновленное отделение отвечает всем необходимым требованиям.
""Естественно, все это стало возможным благодаря нашей совместной работе – работе администрации района и коллектива"", – подытожил депутат.
Отделение ежедневно посещают около 15 воспитанников. Специалисты отделения проводят с ними работу по восстановлению жизненных навыков – самостоятельного проживания и организации быта. В центре действуют различные мастерские, такие как ""Поваренок"", ""Уютный дом"", а также кружок по выращиванию и уходу за растениями ""Цветовод"".
Также с инвалидами проводят сюжетно-ролевые игры ""Магазин"", ""Аптека"", ""Сберкасса"", ""Поликлиника"" и тренинги в общественном транспорте.",25 января 2018,https://spbdnevnik.ru/news/2018-01-25/obnovlenny-reabilitatsionny-tsentr-v-pushkine-pristupil-k-rabote
Метро Петербурга теперь доступно для маломобильных пассажиров,"В минувшие выходные на всех станциях Петербургского метрополитена появились сотрудники, основная задача которых – помощь маломобильным пассажирам.
В минувшие выходные на всех станциях Петербургского метрополитена появились сотрудники, основная задача которых – помощь маломобильным пассажирам.
“27 января 2018 года специалистами Дистанции обеспечения мобильности пассажиров обслуживаются все станции Петербургского метрополитена. Напомним: сотрудники в ярких жилетах с международным знаком доступности на спинах работают на определенных участках, состоящих из нескольких станций (2-4 станции) в зависимости от их загруженности”, – рассказали в “Метро. Петербурга”. 
Там уточнили, что, если инвалиду-колясочнику необходимо совершить поездку в метро с конкретной станции и в определенное время, то лучше сообщить об этом заранее по телефону информационно-справочного центра 8-800-350-11-55.
Специалисты будут помогать пассажирам в креслах-колясках, с ходунками и на костылях. Кроме того, помощь будет оказана людям с нарушениями функций зрения и слуха. Более комфортной поездка в метро также станет для лиц с детскими колясками и пенсионеров с тяжелыми сумками.
""Услуги специалистов Дистанции обеспечения мобильности очень востребованы у пассажиров. Так, только в декабре 2017 года пассажиры обращались к ним за помощью более 13 тыс. раз, из них более 6 тыс. раз обращались за помощью пассажиры с детскими колясками и более 1 тыс. раз была оказана помощь инвалидам-колясочникам"", – добавили в петербургском метро. 
Отметим, это нововведение – один из аспектов подготовки метрополитена к чемпионату мира по футболу, который пройдет в этом году. Также на фиолетовой линии сейчас идет тестирование объявлений на английском языке. Как ранее сообщили в ГУП ""Петербургский метрополитен"", это продлится до начала февраля.",29 января 2018,https://spbdnevnik.ru/news/2018-01-29/metro-peterburga-teper-dostupno-dlya-malomobilnykh-passazhirov
Дом молодежи Санкт-Петербурга отказывался организовывать беспрепятственный доступ инвалидам,"Дом молодежи Санкт-Петербурга нарушил требования закона о беспрепятственном доступе инвалидов. Об этом сообщили в пресс-службе прокуратуры города. 
Дом молодежи Санкт-Петербурга нарушил требования закона о беспрепятственном доступе инвалидов. Об этом сообщили в пресс-службе прокуратуры города. Известно, что сначала сотрудников надзорного ведомства не пускали в досуговый центр. В связи с этим было возбуждено административное дело по статье “умышленное невыполнение требований прокурора, вытекающих из его полномочий, установленных федеральным законом”. Суд обязал Дом молодежи заплатить штраф - 50 тыс. рублей.
Позже доступ в помещение был предоставлен и в ходе проверки были выявлены нарушения.
“Вход на участок объекта не был оборудован доступными для маломобильных групп населения элементами информации об объекте; отсутствовали тактильно-контрастные указатели, выполняющие предупреждающую функцию; система средств информационной поддержки и навигации не обеспечена на всех путях движения; поверхности пешеходных дорожек к пандусу и на марши пандуса на входе в здание неровные, с повреждениями. Отсутствовала контрастная маркировка на стеклянных полотнах дверей и ограждениях в здании, а также специальные опознавательные знаки у дверей”, - рассказали в ведомстве. 
В адрес директора СПБ ГБУ ""Дом Молодежи Санкт-Петербурга"" внесено представление об устранении нарушений. Виновному должностному лицу объявлено замечание.",30 января 2018,https://spbdnevnik.ru/news/2018-01-30/dom-molodezhi-v-moskovskom-rayone-otkazyvalsya-organizovyvat-besprepyatstvenny-dostup-invalidam
Благотворители добились проживания для своих подопечных,"""Мы будем биться до последней капли крови, чтобы жить без инвалидов"", – так 2 года назад встретили подопечных ""Перспектив"" в деревне Раздолье. Сегодня местные несут ребятам варенье и подарки, а директор магазина измерил ширину инвалидной коляски и сделал пандус.
""Мы будем биться до последней капли крови, чтобы жить без инвалидов"", – так 2 года назад встретили подопечных ""Перспектив"" в деревне Раздолье. Сегодня местные несут ребятам варенье и подарки, а директор магазина измерил ширину инвалидной коляски и сделал пандус.
У  входа в  дом гостей встречает подопечная благотворительной организации ""Перспективы"" Юлия Родина. К новоселью она готовилась тщательно: нарядилась и сама подобрала кокетливые бусы. Девушка имеет множество проблем со здоровьем и прикована к коляске: такие, как она, обречены прожить жизнь за стенами интерната, на полном обеспечении и без надежды на малейшую самостоятельность. Юлия была одной из первых, кто переехал из интерната в деревню Раздолье Ленинградской области. Здесь ""Перспективы"" реализуют удивительный проект – дом сопровождаемого проживания для людей с тяжелой инвалидностью. Поначалу приходилось арендовать здание, параллельно на средства благотворителей строя собственное. Красную ленточку перерезали на этой неделе: ребята официально стали жителями Раздолья. 
Дорога к цели 
В ""Перспективах"" шли к проекту сопровождаемого проживания 15 лет. Теперь ребята с тяжелой инвалидностью живут в специально для них спроектированном доме. На 340 м2 уместились личные комнаты, просторные залы для занятий. Кроме Юлии здесь еще шесть подопечных. Двое на колясках, двое ограничены в движениях, один не владеет речью. Ежедневно ребятам помогают социальные работники и волонтеры, приходит настоятель местного храма иерей Борис Ершов. Три раза в неделю жильцы дома трудятся при  храме: в сезон сажают цветы, работают на огороде и перепелиной ферме, зимой готовятся к Рождеству и Пасхе. Для ребят это не ""принудиловка"", а действительно праздник. Оставшееся время посвящено освоению бытовых навыков. Молодые люди учатся строить отношения с жителями деревни. ""Поначалу нас встретили очень настороженно, и нам было приятно видеть, как отношение менялось"", – вспоминает президент ""Перспектив"" Мария Островская. Две комнаты в Раздолье пока пустуют. 
""Будем брать новых ребят на  2 месяца, чтобы они могли определиться, как  хотят жить,  – пояснила Мария Островская. – Здесь на самом деле несладко, надо самим убирать, готовить, стирать, и не всем это нравится"". Юлия добавляет, что от новых обязанностей в восторге. ""Мы научились управлять машинкой посудомоечной, научились машинкой стиральной управлять, – говорит она, – я уже со вчерашнего дня начала стиркой заниматься"". 
Подлинное милосердие 
По словам вице-губернатора Санкт-Петербурга Анны Митяниной, это уникальный проект, который уже получил несколько премий. ""Ни одно учреждение не способно заменить дом, каким бы комфортным оно ни было, но здесь мы видим потрясающе ласковое и заботливое отношение к каждому, созданные условия жизни помогают ребятам быть самостоятельными, – отметила Анна Митянина. – Это милосердие, которое не  прописано ни  в  одной должностной инструкции, вы показываете нам, каким оно должно быть"". Вице-губернатор заверила, что город будет и впредь поддерживать такие проекты. ""Число пациентов, увы, велико, немедленно проблему индивидуального проживания не решить, но есть огромная заинтересованность в этом"", – сказала она. Сейчас в психоневрологических интернатах Петербурга живут более 6 тыс. человек. 
Мария Островская, президент благотворительной организации ""Перспективы"":
""Раньше, если человек не может жить самостоятельно, он отправлялся в закрытое учреждение. Сейчас начинается реформирование всей системы. Если дать достаточно поддержки дома, человек может и не попадать в интернат. Каждый должен иметь выбор. Нас вдохновляли ребята и их желание жить на воле"".",2 февраля 2018,https://spbdnevnik.ru/news/2018-02-02/perspektivy--dobilis-soprovozhdaeymogo-prozhivaniya-dlya-svoikh-podopechnykh
